Algorithm,City count,Seed,Best distance,Runtime,Number of evaluations,Final route,History file
ILS,20,49,386.42968948347004,2.5469970000049216,100000,"[13, 8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3]",histories/ILS_20_cities_seed_49.json.gz
GA,20,49,386.42968948347,12.377745500001765,100000,"[16, 5, 3, 13, 8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0]",histories/GA_20_cities_seed_49.json.gz
GA,20,50,386.42968948347,13.655660199998238,100000,"[17, 1, 19, 6, 14, 10, 15, 9, 18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12, 4]",histories/GA_20_cities_seed_50.json.gz
ILS,20,50,386.42968948347004,1.5018834000002244,100000,"[8, 11, 7, 2, 18, 9, 15, 10, 14, 6, 19, 1, 17, 4, 12, 0, 16, 5, 3, 13]",histories/ILS_20_cities_seed_50.json.gz
ILS,20,51,386.42968948347004,2.5741783999983454,100000,"[18, 2, 7, 11, 8, 13, 3, 5, 16, 0, 12, 4, 17, 1, 19, 6, 14, 10, 15, 9]",histories/ILS_20_cities_seed_51.json.gz
GA,20,51,386.6266770171124,14.507074499997543,100000,"[8, 13, 3, 5, 16, 0, 12, 4, 17, 1, 19, 6, 15, 10, 14, 18, 2, 7, 9, 11]",histories/GA_20_cities_seed_51.json.gz
ILS,30,42,451.76700078489847,3.356924899999285,100000,"[29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20]",histories/ILS_30_cities_seed_42.json.gz
GA,30,42,459.89369112375743,17.583031699999992,100000,"[27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 18, 7, 2, 28, 29, 11, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4]",histories/GA_30_cities_seed_42.json.gz
GA,30,43,453.9023021201497,15.236362800002098,100000,"[22, 8, 23, 11, 13, 20, 29, 28, 2, 7, 18, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3]",histories/GA_30_cities_seed_43.json.gz
ILS,30,43,451.76700078489847,3.854010600000038,100000,"[13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8]",histories/ILS_30_cities_seed_43.json.gz
ILS,30,44,451.7670007848985,3.336547499995504,100000,"[9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 29, 28, 2, 7, 18, 11]",histories/ILS_30_cities_seed_44.json.gz
GA,30,44,451.76700078489847,14.603310799997416,100000,"[8, 13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23]",histories/GA_30_cities_seed_44.json.gz
GA,30,45,460.66977041045834,13.308520099999441,100000,"[21, 3, 22, 8, 23, 11, 13, 20, 29, 28, 2, 7, 18, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 4, 12, 27, 0, 16, 5]",histories/GA_30_cities_seed_45.json.gz
ILS,30,45,451.7670007848984,3.029170099995099,100000,"[27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4]",histories/ILS_30_cities_seed_45.json.gz
ILS,30,46,451.7670007848986,3.0394009000010556,100000,"[13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4, 27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20]",histories/ILS_30_cities_seed_46.json.gz
GA,30,46,459.8936911237574,13.921603100003267,100000,"[5, 21, 3, 22, 23, 8, 13, 20, 11, 29, 28, 2, 7, 18, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16]",histories/GA_30_cities_seed_46.json.gz
GA,30,47,483.335365468356,15.460075700000743,100000,"[20, 29, 28, 2, 7, 18, 24, 15, 10, 14, 6, 19, 9, 11, 23, 8, 12, 4, 1, 25, 17, 26, 27, 0, 16, 5, 21, 3, 22, 13]",histories/GA_30_cities_seed_47.json.gz
ILS,30,47,451.7670007848986,3.594854499999201,100000,"[6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4, 27, 26, 17, 25, 1, 19]",histories/ILS_30_cities_seed_47.json.gz
ILS,30,48,451.7670007848986,3.3255167999959667,100000,"[6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14]",histories/ILS_30_cities_seed_48.json.gz
GA,30,48,458.57131406519665,13.429815900002723,100000,"[26, 17, 25, 4, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 27]",histories/GA_30_cities_seed_48.json.gz
GA,30,49,459.8936911237575,14.563559800000803,100000,"[15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 11, 29, 28, 2, 7, 18, 9, 24]",histories/GA_30_cities_seed_49.json.gz
ILS,30,49,451.76700078489847,4.3543053999965196,100000,"[7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8, 13, 20, 29, 28, 2]",histories/ILS_30_cities_seed_49.json.gz
ILS,30,50,451.7670007848986,3.6454864000043017,100000,"[18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4, 27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11]",histories/ILS_30_cities_seed_50.json.gz
GA,30,50,451.76700078489847,15.343077999998059,100000,"[13, 20, 29, 28, 2, 7, 18, 11, 9, 24, 15, 10, 14, 6, 19, 1, 25, 17, 26, 27, 4, 12, 0, 16, 5, 21, 3, 22, 23, 8]",histories/GA_30_cities_seed_50.json.gz
GA,30,51,451.7670007848984,14.314750899997307,100000,"[27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11, 18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4]",histories/GA_30_cities_seed_51.json.gz
ILS,30,51,451.7670007848986,2.3798483999999007,100000,"[18, 7, 2, 28, 29, 20, 13, 8, 23, 22, 3, 21, 5, 16, 0, 12, 4, 27, 26, 17, 25, 1, 19, 6, 14, 10, 15, 24, 9, 11]",histories/ILS_30_cities_seed_51.json.gz
GA,40,42,491.6336811073312,15.612688100001833,100000,"[39, 18, 7, 2, 28, 29, 20, 13, 23, 8, 32, 22, 33, 36, 3, 21, 5, 16, 34, 0, 12, 27, 26, 17, 25, 37, 4, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 11]",histories/GA_40_cities_seed_42.json.gz
ILS,40,42,489.73163751231004,3.235347099995124,100000,"[32, 22, 33, 36, 3, 21, 5, 16, 34, 0, 12, 27, 26, 17, 25, 37, 4, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29, 20, 13, 11, 23, 8]",histories/ILS_40_cities_seed_42.json.gz
ILS,40,43,492.2936062695663,4.031946800001606,100000,"[13, 20, 29, 28, 2, 7, 18, 39, 11, 30, 9, 24, 15, 10, 14, 38, 35, 6, 31, 19, 1, 25, 17, 26, 37, 4, 12, 27, 0, 34, 16, 5, 21, 3, 36, 33, 22, 32, 8, 23]",histories/ILS_40_cities_seed_43.json.gz
GA,40,43,498.7919313331988,16.685347699996782,100000,"[26, 37, 4, 12, 27, 0, 34, 16, 5, 21, 3, 36, 33, 22, 32, 8, 23, 13, 20, 29, 28, 2, 7, 11, 9, 30, 18, 39, 24, 15, 10, 14, 38, 35, 6, 31, 19, 1, 25, 17]",histories/GA_40_cities_seed_43.json.gz
GA,40,44,513.8679346358084,16.7822318000035,100000,"[19, 1, 25, 17, 26, 27, 37, 4, 12, 0, 33, 3, 21, 16, 34, 5, 36, 22, 32, 8, 23, 13, 20, 11, 29, 28, 2, 7, 18, 39, 30, 9, 24, 15, 10, 14, 38, 35, 6, 31]",histories/GA_40_cities_seed_44.json.gz
ILS,40,44,490.39156267454507,3.4556123000002117,100000,"[31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29, 20, 13, 11, 23, 8, 32, 22, 33, 36, 3, 21, 5, 16, 34, 0, 27, 12, 4, 37, 26, 17, 25, 1, 19]",histories/ILS_40_cities_seed_44.json.gz
ILS,40,45,495.7425950338231,3.3525014000042574,100000,"[26, 17, 25, 37, 4, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29, 11, 20, 13, 23, 8, 32, 22, 33, 36, 3, 21, 5, 16, 34, 0, 12, 27]",histories/ILS_40_cities_seed_45.json.gz
GA,40,45,522.8424140465129,13.456121100003656,100000,"[19, 1, 4, 37, 25, 17, 26, 27, 0, 12, 22, 33, 16, 34, 5, 21, 3, 36, 20, 13, 32, 8, 23, 11, 9, 30, 29, 28, 2, 7, 18, 39, 24, 15, 10, 14, 38, 35, 6, 31]",histories/GA_40_cities_seed_45.json.gz
GA,40,46,557.4353458444131,13.659353800001554,100000,"[38, 35, 6, 31, 25, 17, 26, 37, 27, 0, 34, 16, 5, 21, 3, 36, 33, 13, 20, 29, 28, 2, 7, 11, 23, 8, 32, 22, 12, 4, 1, 19, 9, 30, 18, 39, 24, 15, 10, 14]",histories/GA_40_cities_seed_46.json.gz
ILS,40,46,495.742595033823,3.270955899999535,100000,"[0, 12, 27, 26, 17, 25, 37, 4, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29, 11, 20, 13, 23, 8, 32, 22, 33, 36, 3, 21, 5, 16, 34]",histories/ILS_40_cities_seed_46.json.gz
ILS,40,47,520.7628586090649,3.7085538000028464,100000,"[1, 25, 17, 26, 27, 0, 34, 16, 5, 21, 3, 36, 33, 22, 13, 20, 29, 28, 2, 7, 18, 39, 24, 15, 10, 14, 38, 35, 6, 31, 19, 9, 30, 11, 23, 8, 32, 12, 4, 37]",histories/ILS_40_cities_seed_47.json.gz
GA,40,47,489.73163751231,17.45744349999586,100000,"[20, 13, 11, 23, 8, 32, 22, 33, 36, 3, 21, 5, 16, 34, 0, 12, 27, 26, 17, 25, 37, 4, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29]",histories/GA_40_cities_seed_47.json.gz
GA,40,48,558.6136667308236,14.726580800001102,100000,"[33, 22, 32, 8, 23, 13, 20, 11, 19, 4, 12, 0, 27, 26, 17, 25, 37, 1, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29, 36, 21, 5, 34, 16, 3]",histories/GA_40_cities_seed_48.json.gz
ILS,40,48,492.2936062695661,3.3139014999978826,100000,"[11, 39, 18, 7, 2, 28, 29, 20, 13, 23, 8, 32, 22, 33, 36, 3, 21, 5, 16, 34, 0, 27, 12, 4, 37, 26, 17, 25, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30]",histories/ILS_40_cities_seed_48.json.gz
ILS,40,49,502.85355371242673,3.3863209999981336,100000,"[36, 3, 21, 5, 16, 34, 0, 27, 12, 4, 37, 26, 17, 25, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 39, 18, 7, 2, 28, 29, 20, 13, 11, 30, 9, 23, 8, 32, 22, 33]",histories/ILS_40_cities_seed_49.json.gz
GA,40,49,511.06306998049035,13.752293199999258,100000,"[13, 23, 8, 32, 22, 36, 21, 5, 34, 16, 3, 33, 0, 27, 12, 4, 37, 26, 17, 25, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 39, 18, 30, 9, 11, 7, 2, 28, 29, 20]",histories/GA_40_cities_seed_49.json.gz
GA,40,50,564.6133889640154,13.476619199995184,100000,"[29, 20, 13, 36, 21, 5, 34, 16, 3, 33, 0, 12, 22, 32, 8, 23, 11, 30, 9, 24, 15, 10, 35, 19, 1, 37, 4, 27, 26, 17, 25, 31, 6, 38, 14, 39, 18, 7, 2, 28]",histories/GA_40_cities_seed_50.json.gz
ILS,40,50,502.0027761596017,4.0504908000002615,100000,"[26, 17, 25, 37, 4, 1, 19, 31, 6, 35, 38, 14, 10, 15, 24, 9, 30, 39, 18, 7, 2, 28, 29, 20, 13, 11, 23, 8, 32, 22, 36, 21, 5, 34, 16, 3, 33, 0, 12, 27]",histories/ILS_40_cities_seed_50.json.gz
ILS,40,51,521.1483313276246,4.045801199994457,100000,"[22, 33, 36, 3, 21, 5, 16, 34, 0, 27, 26, 17, 25, 31, 6, 35, 38, 14, 10, 15, 24, 39, 18, 7, 2, 28, 29, 20, 13, 32, 8, 23, 11, 30, 9, 19, 1, 37, 4, 12]",histories/ILS_40_cities_seed_51.json.gz
GA,40,51,529.8395192890564,14.25162360000104,100000,"[5, 36, 13, 20, 29, 28, 2, 7, 18, 39, 11, 30, 9, 24, 15, 10, 14, 38, 35, 6, 31, 19, 1, 37, 25, 17, 26, 27, 0, 12, 4, 23, 8, 32, 22, 33, 3, 21, 16, 34]",histories/GA_40_cities_seed_51.json.gz
ILS,50,42,581.0918285861276,3.9773418999975547,100000,"[5, 21, 3, 36, 33, 45, 13, 20, 29, 28, 49, 2, 7, 18, 41, 39, 24, 15, 10, 14, 38, 35, 6, 31, 44, 47, 46, 40, 25, 17, 26, 27, 4, 37, 43, 1, 19, 48, 9, 30, 42, 11, 23, 8, 32, 22, 12, 0, 34, 16]",histories/ILS_50_cities_seed_42.json.gz
GA,50,42,596.0842181996775,14.605755900003714,100000,"[4, 27, 26, 17, 25, 40, 37, 43, 1, 46, 19, 47, 44, 31, 6, 35, 38, 14, 10, 15, 24, 30, 9, 48, 23, 11, 42, 39, 41, 18, 7, 2, 49, 28, 29, 20, 13, 8, 32, 22, 45, 33, 36, 3, 21, 5, 16, 34, 0, 12]",histories/GA_50_cities_seed_42.json.gz
GA,50,43,586.2546646103923,15.12931099999696,100000,"[37, 4, 12, 27, 0, 33, 3, 21, 16, 34, 5, 36, 45, 22, 20, 13, 32, 8, 23, 48, 9, 30, 42, 11, 29, 28, 49, 2, 7, 18, 41, 39, 24, 15, 10, 14, 38, 35, 6, 31, 44, 47, 19, 46, 1, 43, 40, 25, 17, 26]",histories/GA_50_cities_seed_43.json.gz
