City count,GA,ILS,GA / ILS runtime ratio
10,10.333255179999833,1.0805063600004359,9.56334507831649
20,13.929247369999938,2.669489530001738,5.2179441850033665
30,14.776410880000185,3.391606549998687,4.3567585632849735
40,14.986030279999976,3.5851431799994318,4.180036759369357
50,15.357771110002068,4.1979144700009785,3.658428779278699
