City count,GA,ILS,GA minus ILS,ILS reduction vs GA (%)
10,290.3067737918128,290.3067737918128,0.0,0.0
20,391.7210777044886,386.42968948347004,5.291388221018565,1.3508050810097962
30,459.1460827790128,451.76700078489847,7.379081994114301,1.607131645216683
40,523.843258944396,500.2963122602352,23.546946684160787,4.495036689335389
50,594.5713693901607,579.7011983096497,14.870171080511,2.5009900990966014
